x,y,title,tokens,word,poem_title,author,period,link
0.020171627,-0.015587103,"s song, a thought stole into my saddened **heart**, and i said, ""i can cheer some","s song , a thought stole into my sad ##dened heart , and i said , "" i can cheer some",heart,The Lesson,Paul Laurence Dunbar,20th Century,http://public-domain-poetry.com/paul-laurence-dunbar/lesson-14734
0.020878432,-0.016776785,"'s ear in a strain to soothe his bleeding **heart**, and he smiled at the sound of my voice","' s ear in a strain to soothe his bleeding heart , and he smiled at the sound of my voice",heart,The Lesson,Paul Laurence Dunbar,20th Century,http://public-domain-poetry.com/paul-laurence-dunbar/lesson-14734
0.016205832,0.012058019,"leans frail and lovely on your daddie's **arm**; watching her chick, 'twixt happiness","leans frail and lovely on your dad ##die ' s arm ; watching her chick , ' t ##wi ##xt happiness",arm,The Christening,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/christening-33364
0.016952775,0.025050988,"do jest like i doggoned please. my **head**'s all right, an 'my heart '","do je ##st like i dogg ##oned please . my head ' s all right , an ' my heart '",head,An Easy-Goin' Feller,Paul Laurence Dunbar,20th Century,http://public-domain-poetry.com/paul-laurence-dunbar/an-easy-goin-feller-14780
0.020072153,-0.014965787,"my head's all right, an 'my **heart**'s meller, but i 'm a","my head ' s all right , an ' my heart ' s mel ##ler , but i ' m a",heart,"Here's To Thy Health, My Bonnie Lass",Robert Burns,18th Century,http://public-domain-poetry.com/robert-burns/heres-to-thy-health-my-bonnie-lass-10342
0.02074484,-0.01628949,"of night-close to the world of my poor **heart** so stole she, still and clear; now that","of night - close to the world of my poor heart so stole she , still and clear ; now that",heart,April Moon,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/april-moon-33583
0.020395642,-0.0154697895,"thou art in noble deeds and sterling worth and sympathetic **heart**. i, therefore, seek none from afar for","thou art in noble deeds and sterling worth and sympathetic heart . i , therefore , seek none from afar for",heart,Woman,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/woman-21468
0.021214202,-0.016439296,"songs and fervent prayers, and fillest **heart** with love and truth a store for future cares.","songs and fe ##r ##vent prayers , and fill ##est heart with love and truth a store for future cares .",heart,Woman,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/woman-21468
0.01890706,0.016723474,"s stormy sea, he turns his tear-stained **eye** in haste for one fond glimpse of thee. he","s stormy sea , he turns his tear - stained eye in haste for one fond glimpse of thee . he",eye,Woman,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/woman-21468
0.021277264,-0.016278142,"zion's songs, to cheer each languid **heart**; for now some feeble spirit longs thy","zion ' s songs , to cheer each lang ##uid heart ; for now some fee ##ble spirit long ##s thy",heart,Woman,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/woman-21468
0.020862022,-0.021663962,"autumn has left you bare, and now that my **heart** is sere does not one of your roses care","autumn has left you bare , and now that my heart is ser ##e does not one of your roses care",heart,Three Songs In A Garden III,Theodosia Garrison,20th Century,http://public-domain-poetry.com/theodosia-garrison/three-songs-in-a-garden-iii-16100
0.01622345,0.025295636,drone of sultry wings flicker'd in his **head**. the end of sunset burning thro 'the,drone of sul ##try wings flicker ' d in his head . the end of sunset burning th ##ro ' the,head,Haunted,Siegfried Loraine Sassoon,20th Century,http://public-domain-poetry.com/siegfried-loraine-sassoon/haunted-38242
0.015263497,0.030900398,"zigzag, squat and bestial. headlong he charges down the wood, and falls with","z ##ig ##za ##g , squat and best ##ial . head ##long he charges down the wood , and falls with",head,Haunted,Siegfried Loraine Sassoon,20th Century,http://public-domain-poetry.com/siegfried-loraine-sassoon/haunted-38242
0.019093297,-0.014330262,"fingers groping on his neck, and at his **heart** the strangling clasp of death. 't","fingers gr ##oping on his neck , and at his heart the st ##rang ##ling clasp of death . ' t",heart,Haunted,Siegfried Loraine Sassoon,20th Century,http://public-domain-poetry.com/siegfried-loraine-sassoon/haunted-38242
0.02073741,-0.013628194,a giant; night and a trail unknown and a **heart** reliant. give me to live and love,a giant ; night and a trail unknown and a heart re ##lian ##t . give me to live and love,heart,The Song of the Soldier-born,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/song-of-the-soldier-born-30927
0.020820478,-0.014561253,night and a soldier's ration; a **heart** that leaps to the fight with a soldier's,night and a soldier ' s ratio ##n ; a heart that leaps to the fight with a soldier ' s,heart,The Song of the Soldier-born,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/song-of-the-soldier-born-30927
0.01808593,0.02051852,"fights will never be ancient story; that though my **eye** may be dim and my beard be hoary,","fights will never be ancient story ; that though my eye may be dim and my beard be ho ##ary ,",eye,The Song of the Soldier-born,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/song-of-the-soldier-born-30927
0.015713962,0.014565765,field of glory. so give me a strong right **arm** for a wrong's swift righting; st,field of glory . so give me a strong right arm for a wrong ' s swift right ##ing ; st,arm,The Song of the Soldier-born,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/song-of-the-soldier-born-30927
0.015742283,0.01059264,"make clear, there, like brunhilde **ringed** with flaming fire, lies what shall ease my","make clear , there , like br ##un ##hil ##de ring ##ed with flaming fire , lies what shall ease my",ring,Liebestod,Alan Seeger,20th Century,http://public-domain-poetry.com/alan-seeger/liebestod-30850
0.020329991,-0.023451088,"ed with flaming fire, lies what shall ease my **heart**'s immense desire: there, where beyond the","##ed with flaming fire , lies what shall ease my heart ' s immense desire : there , where beyond the",heart,Liebestod,Alan Seeger,20th Century,http://public-domain-poetry.com/alan-seeger/liebestod-30850
0.014360053,0.014532144,"flows in a pure rain. she lifts one **arm** into an urgent line, cooling her rose fingers on","##flow ##s in a pure rain . she lifts one arm into an urgent line , cooling her rose fingers on",arm,The Morning Shower,Edward Powys Mathers (As Translator),20th Century,http://public-domain-poetry.com/edward-powys-mathers/morning-shower-25776
0.020464923,-0.021751525,"hawthorn quickens with buds of green, and my **heart** with buds of pain. my **heart** all winter lay","hawthorn quick ##ens with buds of green , and my heart with buds of pain . my heart all winter lay",heart,Song,Rupert Brooke,20th Century,http://public-domain-poetry.com/rupert-brooke/song-9713
0.020316612,-0.019290468,", and my **heart** with buds of pain. my **heart** all winter lay so numb, the earth so dead",", and my heart with buds of pain . my heart all winter lay so numb , the earth so dead",heart,Song,Rupert Brooke,20th Century,http://public-domain-poetry.com/rupert-brooke/song-9713
0.020680618,-0.01978613,"i never thought the spring would come, or my **heart** wake any more. but winter's broken and","i never thought the spring would come , or my heart wake any more . but winter ' s broken and",heart,Song,Rupert Brooke,20th Century,http://public-domain-poetry.com/rupert-brooke/song-9713
0.020115925,-0.02265784,"the hawthorn hedge puts forth its buds, and my **heart** puts forth its pain. give me the pulse of","the hawthorn hedge puts forth its buds , and my heart puts forth its pain . give me the pulse of",heart,Song,Rupert Brooke,20th Century,http://public-domain-poetry.com/rupert-brooke/song-9713
0.020644048,-0.015916621,could still be sung. for i would empty my **heart** of all this world's implacable roar,could still be sung . for i would empty my heart of all this world ' s imp ##la ##cable roar,heart,Dedication. To The Memory Of Sir Cecil Spring-Rice,Alfred Noyes,20th Century,http://public-domain-poetry.com/alfred-noyes/dedication-to-the-memory-of-sir-cecil-spring-rice-28020
0.020082224,-0.015597429,"in the breaking wave; and i have a broken **heart** to heal, and a broken soul to save.","in the breaking wave ; and i have a broken heart to heal , and a broken soul to save .",heart,Peace,Alfred Noyes,20th Century,http://public-domain-poetry.com/alfred-noyes/peace-28056
0.019312726,-0.019609177,"soul to save. my purse is yours, sweet **heart**, for i can count no coins with you close","soul to save . my purse is yours , sweet heart , for i can count no coins with you close",heart,A Woman's Charms,William Henry Davies,20th Century,http://public-domain-poetry.com/william-henry-davies/womans-charms-37677
